Name,License Plate,State,Make,Model,Model Year,VIN,Fuel Type,Tank Capacity,Department,Location,Policy,Cards
#246,KP727Y,FL,Toyota,Camry,2025,4T1DAACK5SU042866,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX105
#247,KP823Y,FL,Toyota,Camry,2025,4T1DAACK4SU038551,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX104
#248,KP825Y,FL,Toyota,Camry,2024,4T1DAACK5SU536998,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX110
#249,KP826Y,FL,TOYOTA,CAMRY,2025,4T1DAACK5SU536998,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX109
#250,RXCD23,,TOYOTA,SIENNA,2024,5TDKRKEC3RS212351,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX144
#251,RXCD24,,TOYOTA,SIENNA,2024,5TDKRKEC8RS212118,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX029
#252,RXCD25,,TOYOTA,SIENNA,2024,5TDKRKEC7RS212370,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX137
#253,RAGL57,FL,TOYOTA,SIENNA,2025,,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX011
#254,RAGL58,FL,Toyota,Sienna,2025,5TDKRKECXSS225510,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX077
#255,RAGL59,FL,Toyota,Sienna,2025,,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX132
#256,53ERQN,FL,FORD,TRANSIT,2024,1FBAX2C85RKB64878,,,Royal Transportation,Miami,,YRX019
#257,54ERQN,,FORD,TRANSIT,2024,1FBAX2C80RKB64836,,,,,,YRX133
#258,74EXGS,FL,Toyota,Sienna,2025,5TDKRKEC9SS225935,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX030
#259,76EXGS,FL,TOYOTA,SIENNA,2025,5TDKRKEC4SS226149,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX145
#260,75EXGS,FL,TOYOTA,SIENNA,2025,5TDKRKEC3SS225963,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX148
#261,DP19IF,FL,TOYOTA,SIENNA,2024,5TDKRKEC3RS218277,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX038
#262,DJ51PU,FL,TOYOTA,SIENNA,2025,5TDKRKEC5SS226421,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX048
#263,DP18IF,FL,TOYOTA,SIENNA,2025,5TDKRKEC9SS225756,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,
#310,LBAM33,FL,FORD,TRANSIT,2018,1FTYR2CM0JKA86693,Unleaded Super,,Royal Transportation,Miami,,YRX149
#312,NMBD41,FL,RAM,,2019,3C6TRVPG6KE507392,Unleaded Regular,,Royal Transportation,Miami,,YRX085
#313,PIQU43,FL,Ford,T250,2020,1FTYE1C8XLKA16808,Unleaded Regular,,Royal Transportation,Miami,,
#314,PIQU45,FL,FORD,T250,2020,1FTYE1C80LKA16803,Unleaded Regular,,Royal Transportation,Miami,,
#315,PIQU44,FL,Ford,T250,2020,1FTYE1C89LKA16797,Unleaded Regular,,Royal Transportation,Miami,,
#316,QFXS71,FL,RAM,Promaster,2020,3C6TRVPG3LE122051,Unleaded Regular,,Royal Transportation,Miami,,
#317,QSQB07,,,,,3C6TRVPG0LE121052,Unleaded Regular,,Royal Transportation,Miami,,
#400,02DVVP,FL,FORD,TRANSIT,2016,1FBZX2ZM8GKA39393,Unleaded Regular,,Royal Transportation,Miami,,
244,KP820Y,FL,Toyota,Sienna,2024,5TDKRKEC3RS212303,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX107
DEFECT,73DHCW,FL,TOYOTA,COROLLA,2020,4T1G11AK2RU896580,Unleaded Regular,,Royal Transportation,Miami,,YRX028
