Name,License Plate,State,Make,Model,Model Year,VIN,Fuel Type,Tank Capacity,Department,Location,Policy,Cards
#149,95DXLL,FL,Ford,Transit,2016,1FBZX2ZM2GKA11315,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#150,RNJA90,FL,FORD,TRANSIT,,1FBZX2ZMXGKB44596,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#151,JWAA47,FL,,,,,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Regular Policy,
#152,JWAA46,FL,Ford,,2018,1FBZX2ZMXJKA29150,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Bus/Van Policy,
#154,43BEBK,FL,Ford,,2021,1FBVU4X8XMKA05847,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Bus/Van Policy,
#155,44BEBK,FL,Ford,Transit wagon,,1FBZX2CM8KKA07528,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX025
#156,51BEBK,FL,Mercedes Benz,PASS VAN,2017,WDZPE7CD0HP563611,Diesel,24.5,Royal Transportation,Miami,Royal Bus/Van Policy,YRX080
#158,95BEBK,FL,Ford,,2019,1FBZX2ZM2KKB64253,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Bus/Van Policy,YRX119
#159,96BEBK,FL,Ford,,2019,1FBVU4XM6KKB70272,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Bus/Van Policy,YRX078
#161,39DHCW,FL,Ford,,2017,1FBVU4XG5HKA04151,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Bus/Van Policy,YRX075
#164,45DHCW,FL,FORD,TRANSIT,2016,1FMZK1CMXGKA12625,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#165,BZ78SN,FL,Ford,,2017,1FBZX2YM1HKA50643,,N/A,Royal Transportation,Miami,Royal Bus/Van Policy,YRX087
#166,72DHCW,FL,FORD,TRANSIT,2015,1FBZX2ZM9FKA33553,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#167,BY76UD,FL,Ford,Transit,2020,1FDAX2C8XLKB09390,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
